"Distribuidor ","Area","Articulo","Descripcion","Cantidad","Capacidad","Linea","Rubro"
"DISTRIBUIDORA J.F.T. S.R.L.","Centro y Cuyo","300059547","Doritos Queso 40gx58x1 Ch","35","1.4","Platinum/Salty","Salty"
"DISTRIBUIDORA J.F.T. S.R.L.","Centro y Cuyo","300062122","Lays Mostaza 34gx72x1","23","0.782","Platinum/Salty","Salty"
"DISTRIBUIDORA J.F.T. S.R.L.","Centro y Cuyo","300062045","Lays Provoleta 34gx72x1","3","0.102","Platinum/Salty","Salty"
"DISTRIBUIDORA J.F.T. S.R.L.","Centro y Cuyo","300060190","Doritos Queso 129gx19","4168","537672","Silver/Salty","Salty"
"DISTRIBUIDORA J.F.T. S.R.L.","Centro y Cuyo","300060193","Lays Clasicas 134gx19x1","3638","487492","Silver/Salty","Salty"
"DISTRIBUIDORA J.F.T. S.R.L.","Centro y Cuyo","300058397","3d Queso 143gx18x1","1243","177749","Silver/Salty","Salty"
"DISTRIBUIDORA J.F.T. S.R.L.","Centro y Cuyo","300054910","Doritos Queso 220gx14","520","114.4","Silver/Salty","Salty"
"DISTRIBUIDORA J.F.T. S.R.L.","Centro y Cuyo","300060662","Cheetos Queso 140gx18x1","437","61.18","Silver/Salty","Salty"
"DISTRIBUIDORA J.F.T. S.R.L.","Centro y Cuyo","300060194","Lays Clasicas 230gx14x1","404","92.92","Silver/Salty","Salty"
"DISTRIBUIDORA J.F.T. S.R.L.","Centro y Cuyo","300052667","Pehuamar Acanalada 80gx25","194","15.52","Silver/Salty","Salty"
"DISTRIBUIDORA J.F.T. S.R.L.","Centro y Cuyo","300060097","Pehuamar Papa Acana 135gx19","184","24.84","Silver/Salty","Salty"
"DISTRIBUIDORA J.F.T. S.R.L.","Centro y Cuyo","300060080","Lays Jamon Serrano 122gx19","184","22448","Silver/Salty","Salty"
"DISTRIBUIDORA J.F.T. S.R.L.","Centro y Cuyo","300060198","Pehuamar Papa Lisa 75gx28x1","184","13.8","Silver/Salty","Salty"
"DISTRIBUIDORA J.F.T. S.R.L.","Centro y Cuyo","300060094","Pehuamar Paliqueso 165gx21x1","65","10725","Silver/Salty","Salty"
"DISTRIBUIDORA J.F.T. S.R.L.","Centro y Cuyo","300060231","Lays Clasicas 330gx9","60","19.8","Silver/Salty","Salty"
"DISTRIBUIDORA J.F.T. S.R.L.","Centro y Cuyo","300060663","Cheetos Queso 229gx12x1","50","11.45","Silver/Salty","Salty"
"DISTRIBUIDORA J.F.T. S.R.L.","Centro y Cuyo","300060196","Pehuamar Papa Lisa 135gx19x1","50","6.75","Silver/Salty","Salty"
"DISTRIBUIDORA J.F.T. S.R.L.","Centro y Cuyo","300060200","Tostitos 200gx14","","5.2","Silver/Salty","Salty"
"DISTRIBUIDORA J.F.T. S.R.L.","Centro y Cuyo","300052656","Pehuamar Paliqu3s0 90gx36","23","2.07","Silver/Salty","Salty"
"DISTRIBUIDORA J.F.T. S.R.L.","Centro y Cuyo","300060092","Pehuamar Palisal 165gx21x1","9","1485","Silver/Salty","Salty"
"DISTRIBUIDORA J.F.T. S.R.L.","Centro y Cuyo","300052790","Pehuamar Palisal 90gx36","9","0.81","Silver/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300058444","Quaker Avena Instant 18x280g Arg","228","63.84","Silver/Cereals","Cereals"
"BACOSHOPERS SRL","GBA Sur","300051955","Quaker Avena Tradic 18x280g","131","36.68","Silver/Cereals","Cereals"
"BACOSHOPERS SRL","GBA Sur","300051958","Quaker Avena Extra Fina 18x470g","67","31.49","Silver/Cereals","Cereals"
"BACOSHOPERS SRL","GBA Sur","300030736","Quaker Barra Chispas De Choco 156gx20","54","1404","Silver/Cereals","Cereals"
"BACOSHOPERS SRL","GBA Sur","300030738","Quaker Barras Mousse De Choco 156gx20","54","1404","Silver/Cereals","Cereals"
"BACOSHOPERS SRL","GBA Sur","300030737","Quaker Barra Frutilla Con Crema 180gx20","42","1.26","Silver/Cereals","Cereals"
"BACOSHOPERS SRL","GBA Sur","300063098","Twistos Minit Jamon 95gx30x1","2255","214225","Gold/Crakers","Crakers"
"BACOSHOPERS SRL","GBA Sur","300063097","Twistos Minit Queso 95gx30x1","1880","178.6","Gold/Crakers","Crakers"
"BACOSHOPERS SRL","GBA Sur","300063264","Twistos Minit Jamon 40gx112x1","2455","98.2","Platinum/Crakers","Crakers"
"BACOSHOPERS SRL","GBA Sur","300063263","Twistos Minit Queso 40gx112x1","3284940","64.48","Platinum/Crakers","Crakers"
"BACOSHOPERS SRL","GBA Sur","300052694","Twistos Minit Queso 155gx20","","23405","Silver/Crakers","Crakers"
"BACOSHOPERS SRL","GBA Sur","300052697","Twistos Minit Jamon 155gx20","138","21.39","Silver/Crakers","Crakers"
"BACOSHOPERS SRL","GBA Sur","300062972","Pehuamar maicitos 265gx10x1","1936","513.04","Bronze/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300060096","Pehuamar Acanalada 485x9","1819","882215","Bronze/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300060095","Pehuamar Papa Lisa 485gx9","1337","648445","Bronze/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300060091","Pehuamar Palisal 620gx6x1","283","175.46","Bronze/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300060093","Pehuamar Paliqueso 620gx6x1","165","102.92","Bronze/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300060192","Doritos Queso 77gx26","6901","531377","Gold/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300060195","Lays Clasicas 85gx25x1","4195","356575","Gold/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300060661","3d Queso 85gx27x1","2924","248.54","Gold/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300060664","Cheetos Queso 85gx24x1","2149","182665","Gold/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300062697","Doritos Dinamita Fh 70gx44x1","1995","139.65","Gold/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300060230","Lays Jamon Serrano 77gx28","3284940","124201","Gold/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300060098","Lays Queso Y Cebolla 77gx28","1532","117964","Gold/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300052756","Pep Rueditas 120grx21","1246","149.52","Gold/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300060099","Lays Ketchup 77gx28x1","1075","82775","Gold/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300059811","Lays Ondas Fh 70gx28","694","48.58","Gold/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300061010","Cheetos Queso Crema 85gx24","632","53.72","Gold/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300062585","Lays Mostaza 77gx28","570","43.89","Gold/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300061023","Mani Pelado 135gx40x1","428","57.78","Gold/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300053043","Maniax Aji Y Limon 110gx56","397","43.67","Gold/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300060869","Maniax Sal Y Lim0n 95gx60x1","385","36575","Gold/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300063271","Mani sal pelado 75gx64x1","378","28.35","Gold/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300062584","Lays Provoleta 77gx28x1","341","26257","Gold/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300061021","Maniax Japones Jamon 95gx40x1","241","22895","Gold/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300061030","Mani Sal Con Piel 75gx64x1","","17625","Gold/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300052643","Mani Con Piel 150gx30","3284940","29.55","Gold/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300061020","Maniax Japones Sal 95gx40x1","196","18.62","Gold/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300060201","Tostitos 77gx26","156","12012","Gold/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300058720","Pep Ramitas Queso 120gx21","127","15.24","Gold/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300052622","Mani Pelado 85gx58","122","10.37","Gold/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300052821","Pep Comun 120grx21","95","11.4","Gold/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300059545","Doritos Queso 40gx70x1","5548","221.92","Platinum/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300059432","Lays Clasicas 40gx68x1","3589","143.56","Platinum/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300058395","3d Queso 43gx75x1","2919","125517","Platinum/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300062698","Doritos Dinamita Fh 33gx110x1","2771","91443","Platinum/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300052757","Pep Rueditas 74grx36","2237","165538","Platinum/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300059433","Cheetos Queso 43gx70x1","2046","87978","Platinum/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300059801","Lays Ondas Fh 30gx72","1584","47.61","Platinum/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300033489","Pep Rueditas 40gx60 Pi","1567","62.68","Platinum/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300061011","Cheetos Queso Crema 43gx66","655","28165","Platinum/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300059430","Lays Queso Y Cebolla 34gx72","328","11152","Platinum/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300059431","Lays Jamon Serrano 34gx72","300","10.2","Platinum/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300058721","Pep Ramitas Queso 84gx36","216","18144","Platinum/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300052820","Pep Comun 84grx36","153","12852","Platinum/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300051988","Lays Clasicas 20grx76","93","1.86","Platinum/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300062045","Lays Provoleta 34gx72x1","70","2.38","Platinum/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300033488","Pep Comun 40gx60 Pi","58","2.32","Platinum/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300058740","Pep Ramitas Queso 40gx60","52","2.08","Platinum/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300062122","Lays Mostaza 34gx72x1","42","1428","Platinum/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300050336","Cheetos 23grx108","40","0.92","Platinum/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300052023","3d Mega Ques0 Pc Dts 23grx120","27","0.621","Platinum/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300060190","Doritos Queso 129gx19","1325","170925","Silver/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300060193","Lays Clasicas 134gx19x1","","139.36","Silver/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300052656","Pehuamar Paliqueso 90gx36","623","56.07","Silver/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300058397","3d Queso 143gx18x1","511","73073","Silver/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300060094","Pehuamar Paliqueso 165gx21x1","474","78.21","Silver/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300052790","Pehuamar Palisal 90gx36","420","37.8","Silver/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300052667","Pehuamar Acanalada 80gx25","386","30.88","Silver/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300060097","Pehuamar Papa Acana 135gx19","351","47385","Silver/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300052758","Pehuamar Maicitos 125gx16","","38.75","Silver/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300060092","Pehuamar Palisal 165gx21x1","298","49.17","Silver/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300060198","Pehuamar Papa Lisa 75gx28x1","291","21825","Silver/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300060196","Pehuamar Papa Lisa 135gx19x1","289","39015","Silver/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300060662","Cheetos Queso 140gx18x1","231","32.34","Silver/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300061022","Mani Pelado 320gx17x1","216","70.4","Silver/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300060080","Lays Jamon Serrano 122gx19","90","10.98","Silver/Salty","Salty"
"BACOSHOPERS SRL","GBA Sur","300060199","Tostitos 129gx19","19","2451","Silver/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300030737","Quaker Barra Frutilla Con Crema 180gx20","222","6.66","Silver/Cereals","Cereals"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300030736","Quaker Barra Chispas De Choco 156gx20","192","4992","Silver/Cereals","Cereals"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300058444","Quaker Avena Instant 280g Arg","","40.88","Silver/Cereals","Cereals"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300030738","Quaker Barras Mousse De Choco 156gx20","132","3432","Silver/Cereals","Cereals"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300051955","Quaker Avena Tradic 280g","78","21.84","Silver/Cereals","Cereals"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300051958","Quaker Avena Extra Fina 470g","55","25.85","Silver/Cereals","Cereals"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300058445","Quaker Avena Instant 500g Arg","51","25.5","Silver/Cereals","Cereals"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300052628","Quaker Cereales Honey Graham 190g","38","7.22","Silver/Cereals","Cereals"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300058446","Quaker Avena Tradic 550g Arg","35","19.25","Silver/Cereals","Cereals"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300052629","Quaker Cereales Honey Nut Oats 190g","8","1.52","Silver/Cereals","Cereals"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300063264","Twistos Minit Jamon 40gx112x1","160","6.4","Flavored Crackers","Crakers"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300063263","Twist0s Minit Queso 40gx112x1","100","4","Flavored Crackers","Crakers"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300052696","Twistos Minit Queso 40gx84","59","2.36","Flavored Crackers","Crakers"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300063098","Twistos Minit Jamon 95gx30x1","1515","143925","Gold/Crakers","Crakers"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300063097","Twistos Minit Queso 95gx30x1","975","92625","Gold/Crakers","Crakers"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300052697","Twistos Minit Jamon 155gx20","730","113.15","Silver/Crakers","Crakers"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300052694","Twistos Minit Queso 155gx20","465","72075","Silver/Crakers","Crakers"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300062972","Pehuamar maicitos 265gx10x1","284","75.26","Bronze/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060096","Pehuamar Acanalada 485x9","234","113.49","Bronze/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300062973","Pehuamar acanalada 230gx14x1","156","35.88","Bronze/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060197","Pehuamar Papa Lisa 230gx14x1","","29.67","Bronze/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060095","Pehuamar Papa Lisa 485gx9","120","58.2","Bronze/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060091","Pehuamar Palisal 620gx6x1","47","29.14","Bronze/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060093","Pehuamar Paliqueso 620gx6x1","30","18.6","Bronze/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300059433","Cheetos Queso 43gx70x1","1146","49278","Bronze/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300050336","Cheetos 23grx108","393","9039","Bronze/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300061011","Cheetos Queso Crema 43gx66","309","13287","Bronze/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060195","Lays Clasicas 85gx25x1","5338","453.73","Gold/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060192","Doritos Queso 77gx26","3502","269654","Gold/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300062697","Doritos Dinamita Fh 70gx44x1","2818","197.26","Gold/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300059811","Lays Ondas Fh 70gx28","2409","168.63","Gold/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060664","Cheetos Queso 85gx24x1","1981","168385","Gold/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060661","3d Queso 85gx27x1","1536","130.56","Gold/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060098","Lays Queso Y Cebolla 77gx28","1020","78.54","Gold/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300052821","Pep Comun 120grx21","920","110.4","Gold/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060099","Lays Ketchup 77gx28x1","871","67067","Gold/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060230","Lays Jamon Serrano 77gx28","","54285","Gold/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300061010","Cheetos Queso Crema 85gx24","584","49.64","Gold/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300063271","Mani sal pelado 75gx64x1","566","42.45","Gold/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300061023","Mani Pelado 135gx40x1","515","69525","Gold/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300052756","Pep Rueditas 120grx21","472","56.64","Gold/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300062584","Lays Provoleta 77gx28x1","463","35651","Gold/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300052643","Mani Con Piel 150gx30","309","46.35","Gold/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300061020","Maniax Japones Sal 95gx40x1","","21.66","Gold/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300061021","Maniax Japones Jamon 95gx40x1","215","20425","Gold/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300062585","Lays Mostaza 77gx28","213","16401","Gold/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300053043","Maniax Aji Y Limon 110gx56","","21.23","Gold/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300061030","Mani Sal Con Piel 75gx64x1","184","13.8","Gold/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060201","Tostitos 77gx26","172","13244","Gold/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060869","Maniax Sal Y Limon 95gx60x1","98","9.31","Gold/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300058720","Pep Ramitas Queso 120gx21","3284940","5.16","Gold/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060352","Lays Mayonesa 77gx28x1","-2","-0.154","Gold/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300058395","3d Qu3s0 43gx75x1","603","25929","Pellet Snacks","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300052023","3d Mega Queso Pc Dts 23grx120","","2047","Pellet Snacks","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300059432","Lays Clasicas 40gx68x1","1371","54.84","Potato Chips","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300059801","Lays Ondas Fh 30gx72","509","15.27","Potato Chips","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300059430","Lays Qso Y Cebolla 34gx72","315","10.71","Potato Chips","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300059431","Lays Jam0n S3rran0 34gx72","208","7072","Potato Chips","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300062045","Lays Provoleta 34gx72x1","206","7004","Potato Chips","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300051988","Lays Clasicas 20grx76","110","2.2","Potato Chips","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060354","Lays Ketchup 34gx72x1","27","0.918","Potato Chips","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300062122","Lays Mostaza 34gx72x1","-3","-0.102","Potato Chips","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060193","Lays Clasicas 134gx19x1","1668","223512","Silver/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060190","Doritos Queso 129gx19","1564","201756","Silver/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300052667","Pehuamar Acanalada 80gx25","1077","86.16","Silver/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060097","Pehuamar Papa Acana 135gx19","811","109485","Silver/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060198","Pehuamar Papa Lisa 75gx28x1","618","46.35","Silver/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300052758","Pehuamar Maicitos 125gx16","613","76625","Silver/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060662","Cheetos Queso 140gx18x1","604","84.56","Silver/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300058397","3d Queso 143gx18x1","556","79508","Silver/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060196","Pehuamar Papa Lisa 135gx19x1","534","72.09","Silver/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300052656","Pehuamar Paliqueso 90gx36","498","44.82","Silver/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060094","Pehuamar Paliqueso 165gx21x1","464","76.56","Silver/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300052790","Pehuamar Palisal 90gx36","3284940","35.28","Silver/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060092","Pehuamar Palisal 165gx21x1","361","59565","Silver/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060194","Lays Clasicas 230gx14x1","3284940","65.55","Silver/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060080","Lays Jamon Serrano 122gx19","238","29036","Silver/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300054910","Doritos Queso 220gx14","202","44.44","Silver/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060663","Cheetos Queso 229gx12x1","133","30457","Silver/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060231","Lays Clasicas 330gx9","119","39.27","Silver/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060199","Tostitos 129gx19","81","10449","Silver/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300061022","Mani Pelado 320gx17x1","57","18.24","Silver/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060191","Doritos Queso 200gx14","34","6.8","Silver/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300060200","Tostitos 200gx14","5","1","Silver/Salty","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300059545","Doritos Queso 40gx70x1","1447","57.88","Tortilla Chips","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300062698","Doritos Dinamita Fh 33gx110x1","978","32274","Tortilla Chips","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300052820","Pep Comun 84grx36","1179","99036","Wheat Snacks","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300052757","Pep Rueditas 74grx36","638","47212","Wheat Snacks","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300033488","Pep Comun 40gx60 Pi","186","7.44","Wheat Snacks","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300058721","Pep Ramitas Queso 84gx36","176","14784","Wheat Snacks","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300033489","Pep Rueditas 40gx60 Pi","131","5.24","Wheat Snacks","Salty"
"LOGISTICAS S.R.L.","Atlantico y Cordillera","300058740","Pep Ramitas Queso 40gx60","80","3.2","Wheat Snacks","Salty"
"CHABS S. R. L.","Centro y Cuyo","300063098","Twistos Minit Jamon 95gx30x1","5944","564.68","Gold/Crakers","Crakers"
"CHABS S. R. L.","Centro y Cuyo","300063097","Twistos Minit Queso 95gx30x1","3284940","292.03","Gold/Crakers","Crakers"
"CHABS S. R. L.","Centro y Cuyo","300063264","Twistos Minit Jamon 40gx112x1","1437","57.48","Platinum/Crakers","Crakers"
"CHABS S. R. L.","Centro y Cuyo","300063263","Twistos Minit Queso 40gx112x1","1267","50.68","Platinum/Crakers","Crakers"
"CHABS S. R. L.","Centro y Cuyo","300062973","Pehuamar acanalada 230gx14x1","14","3.22","Bronze/Salty","Salty"
"CHABS S. R. L.","Centro y Cuyo","300060195","Lays Clasicas 85gx25x1 (Procedencia: MB)","8490","721.65","Gold/Salty","Salty"
"CHABS S. R. L.","Centro y Cuyo","300060192","Doritos Queso 77gx26","8100","623.7","Gold/Salty","Salty"
"CHABS S. R. L.","Centro y Cuyo","300062697","Doritos Dinamita Fh 70gx44x1 (Procedencia: FH-D)","6677","467.39","Gold/Salty","Salty"
"CHABS S. R. L.","Centro y Cuyo","300060230","Lays Jamon Serrano 77gx28 (Procedencia: MB)","3431","264187","Gold/Salty","Salty"
"CHABS S. R. L.","Centro y Cuyo","300059811","Lays Ondas Fh 70gx28 (Procedencia: FH-O)","3091","216.37","Gold/Salty","Salty"
"CHABS S. R. L.","Centro y Cuyo","300060661","3d Queso 85gx27x1","2800","238","Gold/Salty","Salty"
"CHABS S. R. L.","Centro y Cuyo","300060098","Lays Queso Y Cebolla 77gx28 (Procedencia: MB)","2021","155617","Gold/Salty","Salty"
"CHABS S. R. L.","Centro y Cuyo","300060099","Lays Ketchup 77gx28x1 (Procedencia: MB)","3284940","133441","Gold/Salty","Salty"
"CHABS S. R. L.","Centro y Cuyo","300061010","Cheetos Queso Crema 85gx24","1492","126.82","Gold/Salty","Salty"
"CHABS S. R. L.","Centro y Cuyo","300052756","Pep Rueditas 120grx21","1313","157.56","Gold/Salty","Salty"
"CHABS S. R. L.","Centro y Cuyo","300060664","Cheetos Queso 85gx24x1","1155","98175","Gold/Salty","Salty"
"CHABS S. R. L.","Centro y Cuyo","300062585","Lays Mostaza 77gx28 (Procedencia: MB)","1084","83468","Gold/Salty","Salty"
"CHABS S. R. L.","Centro y Cuyo","300063271","Mani sal pelado 75gx64x1","660","49.5","Gold/Salty","Salty"
"CHABS S. R. L.","Centro y Cuyo","300060201","Tostitos 77gx26","313","24101","Gold/Salty","Salty"
"CHABS S. R. L.","Centro y Cuyo","300058720","Pep Ramitas Queso 120gx21","243","29.16","Gold/Salty","Salty"
